School,School Code,Attendance Year,School Type,School Category,EQ Zone,Region,Local Government Area,FTE Days Attended,Possible Attendance Days,Attendance Rate
Tresswell State School,420,2015,State School,Primary,Remote,Central Queensland,Central Highlands (R),539.5,576,93.7%
Trinity Bay State High School,2057,2011,State High School,Secondary,Metropolitan,Far North Queensland,Cairns (R),109501,125956,86.9%
Trinity Bay State High School,2057,2012,State High School,Secondary,Metropolitan,Far North Queensland,Cairns (R),107470,124275,86.5%
Trinity Bay State High School,2057,2013,State High School,Secondary,Metropolitan,Far North Queensland,Cairns (R),110936,125655,88.3%
Trinity Bay State High School,2057,2014,State High School,Secondary,Metropolitan,Far North Queensland,Cairns (R),123215,139415,88.4%
Trinity Bay State High School,2057,2015,State High School,Secondary,Metropolitan,Far North Queensland,Cairns (R),144368,161231,89.5%
Tropical North Learning Academy - Smithfield State High School,2159,2011,State High School,Secondary,Metropolitan,Far North Queensland,Cairns (R),65503.5,73693,88.9%
Tropical North Learning Academy - Smithfield State High School,2159,2012,State High School,Secondary,Metropolitan,Far North Queensland,Cairns (R),61564,72176.5,85.3%
Tropical North Learning Academy - Smithfield State High School,2159,2013,State High School,Secondary,Metropolitan,Far North Queensland,Cairns (R),70942,79540,89.2%
Tropical North Learning Academy - Smithfield State High School,2159,2014,State High School,Secondary,Metropolitan,Far North Queensland,Cairns (R),75099,84950,88.4%
Tropical North Learning Academy - Smithfield State High School,2159,2015,State High School,Secondary,Metropolitan,Far North Queensland,Cairns (R),90840,102289,88.8%
Tropical North Learning Academy - Trinity Beach State School,1893,2011,State School,Primary,Metropolitan,Far North Queensland,Cairns (R),66235.5,72313,91.6%
Tropical North Learning Academy - Trinity Beach State School,1893,2012,State School,Primary,Metropolitan,Far North Queensland,Cairns (R),67897,74184,91.5%
Tropical North Learning Academy - Trinity Beach State School,1893,2013,State School,Primary,Metropolitan,Far North Queensland,Cairns (R),71415.5,76880.5,92.9%
Tropical North Learning Academy - Trinity Beach State School,1893,2014,State School,Primary,Metropolitan,Far North Queensland,Cairns (R),78188,83886,93.2%
Tropical North Learning Academy - Trinity Beach State School,1893,2015,State School,Primary,Metropolitan,Far North Queensland,Cairns (R),79237,84699.5,93.6%
Tullawong State High School,2188,2011,State High School,Secondary,Metropolitan,North Coast,Moreton Bay (R),83796.5,96529,86.8%
Tullawong State High School,2188,2012,State High School,Secondary,Metropolitan,North Coast,Moreton Bay (R),82727.5,94789,87.3%
Tullawong State High School,2188,2013,State High School,Secondary,Metropolitan,North Coast,Moreton Bay (R),81521,96638,84.4%
Tullawong State High School,2188,2014,State High School,Secondary,Metropolitan,North Coast,Moreton Bay (R),78277,91762,85.3%
Tullawong State High School,2188,2015,State High School,Secondary,Metropolitan,North Coast,Moreton Bay (R),80569.5,94249,85.5%
Tullawong State School,1994,2011,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),96454,108080,89.2%
Tullawong State School,1994,2012,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),92553.5,100606.5,92.0%
Tullawong State School,1994,2013,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),92575.5,103449.5,89.5%
Tullawong State School,1994,2014,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),97288.5,109872,88.5%
Tullawong State School,1994,2015,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),85410,95933,89.0%
Tully State High School,2103,2011,State High School,Secondary,Rural,Far North Queensland,Cassowary Coast (R),47629,56810,83.8%
Tully State High School,2103,2012,State High School,Secondary,Rural,Far North Queensland,Cassowary Coast (R),45557,52999,86.0%
Tully State High School,2103,2013,State High School,Secondary,Rural,Far North Queensland,Cassowary Coast (R),45081,51093,88.2%
Tully State High School,2103,2014,State High School,Secondary,Rural,Far North Queensland,Cassowary Coast (R),45525,52531,86.7%
Tully State High School,2103,2015,State High School,Secondary,Rural,Far North Queensland,Cassowary Coast (R),55365.5,61105,90.6%
Tully State School,1008,2011,State School,Primary,Rural,Far North Queensland,Cassowary Coast (R),23890,26209,91.2%
Tully State School,1008,2012,State School,Primary,Rural,Far North Queensland,Cassowary Coast (R),23046.5,24957,92.3%
Tully State School,1008,2013,State School,Primary,Rural,Far North Queensland,Cassowary Coast (R),22654.5,24398,92.9%
Tully State School,1008,2014,State School,Primary,Rural,Far North Queensland,Cassowary Coast (R),25835,28331,91.2%
Tully State School,1008,2015,State School,Primary,Rural,Far North Queensland,Cassowary Coast (R),25022.5,26887,93.1%
Two Mile State School,361,2011,State School,Primary,Rural,North Coast,Gympie (R),10851.5,11503,94.3%
Two Mile State School,361,2012,State School,Primary,Rural,North Coast,Gympie (R),9639.5,10385,92.8%
Two Mile State School,361,2013,State School,Primary,Rural,North Coast,Gympie (R),9778,10679.5,91.6%
Two Mile State School,361,2014,State School,Primary,Rural,North Coast,Gympie (R),9986.5,10777,92.7%
Two Mile State School,361,2015,State School,Primary,Rural,North Coast,Gympie (R),8242.5,8953,92.1%
Ubobo State School,879,2011,State School,Primary,Rural,Central Queensland,Gladstone (R),1172,1268,92.4%
Ubobo State School,879,2012,State School,Primary,Rural,Central Queensland,Gladstone (R),455,481,94.6%
Ubobo State School,879,2013,State School,Primary,Rural,Central Queensland,Gladstone (R),700,748,93.6%
Ubobo State School,879,2014,State School,Primary,Rural,Central Queensland,Gladstone (R),1598.5,1751,91.3%
Ubobo State School,879,2015,State School,Primary,Rural,Central Queensland,Gladstone (R),1454.5,1562,93.1%
Undurba State School,1877,2011,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),80375,85683,93.8%
Undurba State School,1877,2012,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),74350,79720,93.3%
Undurba State School,1877,2013,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),78032.5,83516.5,93.4%
Undurba State School,1877,2014,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),91220,98340,92.8%
Undurba State School,1877,2015,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),101496.5,108850,93.2%
Upper Brookfield State School,1501,2011,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),4652.5,4916,94.6%
Upper Brookfield State School,1501,2012,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),4141,4510,91.8%
Upper Brookfield State School,1501,2013,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),4498.5,4932,91.2%
Upper Brookfield State School,1501,2014,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),6541,7130,91.7%
Upper Brookfield State School,1501,2015,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),5037,5414,93.0%
Upper Coomera State College,2340,2011,State School,Combined,Metropolitan,South East,Gold Coast (C),201758.5,230366,87.6%
Upper Coomera State College,2340,2012,State School,Combined,Metropolitan,South East,Gold Coast (C),187232,213011,87.9%
Upper Coomera State College,2340,2013,State School,Combined,Metropolitan,South East,Gold Coast (C),186468.5,209768,88.9%
Upper Coomera State College,2340,2014,State School,Combined,Metropolitan,South East,Gold Coast (C),191801,215900,88.8%
Upper Coomera State College,2340,2015,State School,Combined,Metropolitan,South East,Gold Coast (C),187545.5,214934.5,87.3%
Upper Mount Gravatt State School,128,2011,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),35251,38015,92.7%
Upper Mount Gravatt State School,128,2012,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),34686,37423,92.7%
Upper Mount Gravatt State School,128,2013,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),35656,38226,93.3%
Upper Mount Gravatt State School,128,2014,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),38159,41002,93.1%
Upper Mount Gravatt State School,128,2015,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),36963,40023,92.4%
Urandangi State School,1755,2011,State School,Primary,Remote,North Queensland,Boulia (S),700,764,91.6%
Urandangi State School,1755,2012,State School,Primary,Remote,North Queensland,Boulia (S),707.5,760,93.1%
Urandangi State School,1755,2013,State School,Primary,Remote,North Queensland,Boulia (S),759.5,881,86.2%
Urandangi State School,1755,2014,State School,Primary,Remote,North Queensland,Boulia (S),540.5,739,73.1%
Urandangi State School,1755,2015,State School,Primary,Remote,North Queensland,Boulia (S),350,494,70.9%
Urangan Point State School,1536,2011,State School,Primary,Provincial City,North Coast,Fraser Coast (R),23672.5,26130,90.6%
Urangan Point State School,1536,2012,State School,Primary,Provincial City,North Coast,Fraser Coast (R),27109,29588,91.6%
Urangan Point State School,1536,2013,State School,Primary,Provincial City,North Coast,Fraser Coast (R),30715,33890,90.6%
Urangan Point State School,1536,2014,State School,Primary,Provincial City,North Coast,Fraser Coast (R),35353,38940.5,90.8%
Urangan Point State School,1536,2015,State School,Primary,Provincial City,North Coast,Fraser Coast (R),37463,41263.5,90.8%
Urangan State High School,2110,2011,State High School,Secondary,Provincial City,North Coast,Fraser Coast (R),129467,144717,89.5%
Urangan State High School,2110,2012,State High School,Secondary,Provincial City,North Coast,Fraser Coast (R),126353,142146,88.9%
Urangan State High School,2110,2013,State High School,Secondary,Provincial City,North Coast,Fraser Coast (R),120546,136411.5,88.4%
Urangan State High School,2110,2014,State High School,Secondary,Provincial City,North Coast,Fraser Coast (R),134257,150373.5,89.3%
Urangan State High School,2110,2015,State High School,Secondary,Provincial City,North Coast,Fraser Coast (R),144533,164053,88.1%
Vale View State School,844,2011,State School,Primary,Provincial City,Darling Downs South West,Toowoomba (R),4612,4959,93.0%
Vale View State School,844,2012,State School,Primary,Provincial City,Darling Downs South West,Toowoomba (R),4942,5162,95.7%
Vale View State School,844,2013,State School,Primary,Provincial City,Darling Downs South West,Toowoomba (R),7021.5,7264,96.7%
Vale View State School,844,2014,State School,Primary,Provincial City,Darling Downs South West,Toowoomba (R),8004,8470,94.5%
Vale View State School,844,2015,State School,Primary,Provincial City,Darling Downs South West,Toowoomba (R),7686.5,8144,94.4%
Valkyrie State School,403,2011,State School,Primary,Remote,Central Queensland,Isaac (R),807,890,90.7%
Valkyrie State School,403,2012,State School,Primary,Remote,Central Queensland,Isaac (R),1194,1296,92.1%
Valkyrie State School,403,2013,State School,Primary,Remote,Central Queensland,Isaac (R),1348,1561,86.4%
Valkyrie State School,403,2014,State School,Primary,Remote,Central Queensland,Isaac (R),1784,1884,94.7%
Valkyrie State School,403,2015,State School,Primary,Remote,Central Queensland,Isaac (R),1770.5,1920,92.2%
Varsity College,1759,2011,State School,Combined,Metropolitan,South East,Gold Coast (C),264475.5,289318,91.4%
Varsity College,1759,2012,State School,Combined,Metropolitan,South East,Gold Coast (C),260094,283530.5,91.7%
Varsity College,1759,2013,State School,Combined,Metropolitan,South East,Gold Coast (C),263836,287236.5,91.9%
Varsity College,1759,2014,State School,Combined,Metropolitan,South East,Gold Coast (C),275640,296007,93.1%
Varsity College,1759,2015,State School,Combined,Metropolitan,South East,Gold Coast (C),274922.5,301108,91.3%
Veresdale Scrub State School,869,2011,State School,Primary,Rural,South East,Scenic Rim (R),11454,12446,92.0%
Veresdale Scrub State School,869,2012,State School,Primary,Rural,South East,Scenic Rim (R),9471.5,10365.5,91.4%
Veresdale Scrub State School,869,2013,State School,Primary,Rural,South East,Scenic Rim (R),9723.5,10390,93.6%
Veresdale Scrub State School,869,2014,State School,Primary,Rural,South East,Scenic Rim (R),10603.5,11554,91.8%
Veresdale Scrub State School,869,2015,State School,Primary,Rural,South East,Scenic Rim (R),9391,10217,91.9%
Victoria Park State School,1855,2011,State School,Primary,Provincial City,Central Queensland,Mackay (R),54931.5,60500,90.8%
Victoria Park State School,1855,2012,State School,Primary,Provincial City,Central Queensland,Mackay (R),56133,60397,92.9%
Victoria Park State School,1855,2013,State School,Primary,Provincial City,Central Queensland,Mackay (R),58148.5,62990.5,92.3%
Victoria Park State School,1855,2014,State School,Primary,Provincial City,Central Queensland,Mackay (R),58266.5,62514,93.2%
Victoria Park State School,1855,2015,State School,Primary,Provincial City,Central Queensland,Mackay (R),53905,57564,93.6%
Victoria Plantation State School,628,2011,State School,Primary,Rural,North Queensland,Hinchinbrook (S),7368.5,8709,84.6%
Victoria Plantation State School,628,2012,State School,Primary,Rural,North Queensland,Hinchinbrook (S),7780.5,8227,94.6%
Victoria Plantation State School,628,2013,State School,Primary,Rural,North Queensland,Hinchinbrook (S),8300,8696,95.4%
Victoria Plantation State School,628,2014,State School,Primary,Rural,North Queensland,Hinchinbrook (S),9176,9851,93.1%
Victoria Plantation State School,628,2015,State School,Primary,Rural,North Queensland,Hinchinbrook (S),8408.5,8923,94.2%
Victoria Point State High School,234,2011,State High School,Secondary,Metropolitan,South East,Redland (C),101437.5,117323,86.5%
Victoria Point State High School,234,2012,State High School,Secondary,Metropolitan,South East,Redland (C),94198,114582.5,82.2%
Victoria Point State High School,234,2013,State High School,Secondary,Metropolitan,South East,Redland (C),95156,107783,88.3%
Victoria Point State High School,234,2014,State High School,Secondary,Metropolitan,South East,Redland (C),95595,107038,89.3%
Victoria Point State High School,234,2015,State High School,Secondary,Metropolitan,South East,Redland (C),105766,121212,87.3%
Victoria Point State School,1512,2011,State School,Primary,Metropolitan,South East,Redland (C),60260,65077,92.6%
Victoria Point State School,1512,2012,State School,Primary,Metropolitan,South East,Redland (C),53411.5,57826,92.4%
Victoria Point State School,1512,2013,State School,Primary,Metropolitan,South East,Redland (C),48832,53230,91.7%
Victoria Point State School,1512,2014,State School,Primary,Metropolitan,South East,Redland (C),50303.5,54989,91.5%
Victoria Point State School,1512,2015,State School,Primary,Metropolitan,South East,Redland (C),44694,48885,91.4%
